order2,home,away,rivalry,favored,underdog,line,etp,fminusu,favscore,undscore,tp,fro1,fpo1,fto1,fso1,frd1,fped1,ftd1,fsd1,fws,fls,fsched,uro1,upo1,uto1,uso1,urd1,uped1,utd1,usd1,uws,uls,usced,frank,urank,fnr,unr,finj,uinj,top25game,confgame,nightgame,conference,week,year,stadium,power5,ACC,BigEast,BigTen,BigTwelve,CUSA,IND,MAC,MntWest,NonConf,PacTen,SEC,SunBelt,WAC,NoRivalry,MinorRivalry,MajorRivalry,AnyRivalry,Home_Rating,Away_Rating,,,fsched,finj,power5,Any
965,Northern Illinois,Eastern Michigan,None,Northern Illinois,Eastern Michigan,21,59.5,16,24,8,32,212.6,306,518.6,35.2,170.2,130.64,396,29.8,1,0,0.47058824,110,223.67,333.67,18.33,213.33,128.09,417.17,27.17,0,1,0.31818182,0,0,1,1,0,1,0,1,0,MAC,7,2005,31000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,71.59,61.5,,,mean,mean,mean,mean
855,Idaho,Utah State,None,Utah State,Idaho,2,49,-14,13,27,40,112,158.5,270.5,19,182,152.31,448.5,27.5,1,0,0.5,55.75,218,273.75,15.75,158,148.45,406,32.5,0,6,0.11111111,0,0,1,1,0,8,0,1,0,WAC,5,2005,16000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,51.22,54.35,,,0.532153634,4.489177489,0.212121212,0.155844156
872,UL-Lafayette,UCF,None,UCF,UL-Lafayette,3.5,48.5,3,24,21,45,68,242,310,17.33,123,147.82,389,22.67,1,0,0.33333333,192,205.33,397.33,20.67,272.67,148.94,481,39.67,1,0,0.6,0,0,1,1,0,2,0,0,1,NC,5,2005,31000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,58.09,66.81,,,std,std,std,std
1692,Oklahoma State,Texas A&M,None,Oklahoma State,Texas A&M,3.5,59,-1,33,34,67,199.5,232.67,432.17,38.17,130.17,135.72,328,20.33,1,0,0.45454545,200,210.71,410.71,33.14,108,113.63,305.57,16.57,2,0,0.52631579,0,23,1,0,0,0,1,1,1,Big Twelve,8,2006,50616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,76.37,76.98,,,0.118489412,2.812799119,0.409697983,0.363495173
1955,Colorado State,TCU,None,TCU,Colorado State,10,40.5,31,45,14,59,184.1,203,387.1,26,67.9,103.29,255.2,12.5,5,0,0.48192771,77.1,217.6,294.7,18.2,125.5,124.88,312.3,20.1,0,5,0.41111111,27,0,0,1,0,6,0,1,0,Mountain West,13,2006,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,62.89,81.98,,,,,,
1903,North Texas,Florida Atlantic,None,North Texas,Florida Atlantic,4,38,-1,16,17,33,107.6,123.5,231.1,13.5,144.4,143.15,341.3,26.4,1,0,0.48863636,104,192.8,296.8,13.3,165.6,122.64,346.8,28.3,0,2,0.49425287,0,0,1,1,0,9,0,1,1,Sun Belt,12,2006,30500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,50.83,56.09,,,fsched,finj,power5,AnyRivalry
1622,Virginia,Maryland,None,Maryland,Virginia,3,38,2,28,26,54,134.8,170.2,305,22.4,169.4,110.11,342.8,21.2,0,1,0.52173913,77.17,154.83,232,16.83,117.67,130.79,291.5,20.33,0,1,0.48148148,0,0,1,1,0,3,0,1,0,ACC,7,2006,61500,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,68.78,77.11,,,0.47058824,0,0,0
1864,Pittsburgh,West Virginia,Major,West Virginia,Pittsburgh,10.5,51,18,45,27,72,318.22,144.67,462.89,40.22,88.44,107.56,303.89,17.44,1,0,0.5443038,140.7,232.2,372.9,33,157.6,113.2,321.7,18.1,0,3,0.48314607,8,0,0,1,0,8,1,1,1,Big East,12,2006,65000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,75.8,88.64,,,0.5,0,0,0
2230,Ohio,Kent State,None,Kent State,Ohio,3,47.5,8,33,25,58,236.75,178,414.75,25.25,168.5,113.04,306.5,26,0,1,0.63636364,108.25,205.25,313.5,26.75,197.5,125.55,444.25,24.75,0,2,0.45454545,0,0,1,1,0,7,0,1,0,MAC,5,2007,24000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,87.48,53.41,,,0.33333333,0,0,0
2552,Cincinnati,Connecticut,None,Cincinnati,Connecticut,6.5,48,24,27,3,30,167.67,261.78,429.44,37.67,107.33,115.82,377.33,17.89,1,0,0.46478873,174.78,192.56,367.33,31.11,122.89,100.65,317.44,13.67,3,0,0.50684932,27,16,0,0,0,3,1,0,0,NC,11,2007,35000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,82.45,77.05,,,0.45454545,0,0,0
